CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_DIRECTION,DOORING_I,WORK_ZONE_I,NUM_UNITS,INJURIES_TOTAL,CRASH_HOUR,LATITUDE,LONGITUDE,NUM_PASSENGERS,LIC_PLATE_STATE,VEHICLE_DEFECT,VEHICLE_TYPE,VEHICLE_USE,TRAVEL_DIRECTION,MANEUVER,OCCUPANT_CNT,EXCEED_SPEED_LIMIT_I,FIRST_CONTACT_POINT,PERSON_TYPE,CITY,SEX,AGE,SAFETY_EQUIPMENT,AIRBAG_DEPLOYED,EJECTION,DRIVER_ACTION,DRIVER_VISION,PHYSICAL_CONDITION,PEDPEDAL_ACTION,PEDPEDAL_VISIBILITY,BAC_RESULT VALUE,CELL_PHONE_USE,INJURY,FATALITIES,Location,VEHICLE_AGE,AGE_binned,VEHICLE_AGE_binned,PEDPEDAL_ACTION_NEW,PHYSICAL_CONDITION_NEW,LOCATION_NEW,LOCATION_ADDRESS
2020-08-01 19:49:00,30,SIGN,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,ANGLE,DIVIDED,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,Y,N,N,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,S,N,N,2,2,Night,41.760935289,-87.56152886,0,IL,NONE,PASSENGER,PERSONAL,W,STRAIGHT AHEAD,1,N,OTHER,DRIVER,SOUTH HOOLAND,F,30.0,USED SAFETY EQUIP,DEPLOYED,NONE,FAILED TO YIELD,NOT OBSCURED,NORMAL,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Not Downtown,6.0,between 19 and 30,5 to 10,UNABLE TO DETERMINE,NORMAL,"41.760935289, -87.56152886","2602, East 74th Street, South Shore, Chicago, Cook County, Illinois, 60649, United States of America"
2019-07-04 22:50:00,30,SIGN,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,NOT_DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,N,Y,UNABLE TO DETERMINE,UNABLE TO DETERMINE,W,N,N,2,1,Night,41.880609278,-87.745157641,0,IL,UNABLE TO DETERMINE,OTHER,UNKNOWN/NA,N,OTHER,1,N,OTHER,DRIVER,OTHER,X,44.0,UNABLE TO DETERMINE,UNABLE TO DETERMINE,NONE,OTHER,OTHER,UNABLE TO DETERMINE,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Not Downtown,15.0,between 41 and 50,11 to 15,UNABLE TO DETERMINE,UNABLE TO DETERMINE,"41.880609278, -87.745157641","West Madison Street, Austin, Chicago, Cook County, Illinois, 60644, United States of America"
2019-12-10 10:28:00,30,SIGN,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,N,N,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,S,N,N,2,1,Morning,41.751460603,-87.585971993,0,IL,UNABLE TO DETERMINE,PASSENGER,PERSONAL,NE,TURN,1,N,OTHER,DRIVER,CHICAGO,F,65.0,UNABLE TO DETERMINE,NOT DEPLOYED,NONE,OTHER,OTHER,NORMAL,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Not Downtown,7.0,Over 60,5 to 10,UNABLE TO DETERMINE,NORMAL,"41.751460603, -87.585971993","South Stony Island Avenue, Avalon Park, Chicago, Cook County, Illinois, 60649, United States of America"
2019-06-22 16:50:00,30,SIGN,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT_DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,N,N,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,W,N,N,2,1,Afternoon,41.698458712,-87.720582553,0,IL,UNABLE TO DETERMINE,PASSENGER,PERSONAL,E,STRAIGHT AHEAD,1,N,OTHER,DRIVER,CHICAGO,M,18.0,USED SAFETY EQUIP,DEPLOYED,NONE,NONE,NOT OBSCURED,NORMAL,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Not Downtown,4.0,below 18,Below 5,UNABLE TO DETERMINE,NORMAL,"41.698458712, -87.720582553","South Pulaski Road, Mount Greenwood, Chicago, Cook County, Illinois, 60803, United States of America"
2018-08-21 08:34:00,30,NO_SIGN,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,PEDESTRIAN,NOT_DIVIDED,2,STRAIGHT AND LEVEL,WET,OTHER,N,N,Y,IMPROPER LANE USAGE,IMPROPER OVERTAKING/PASSING,W,N,N,2,1,Morning,41.909966376,-87.709857524,0,IL,UNABLE TO DETERMINE,PASSENGER,UNKNOWN/NA,E,LANE,1,N,FRONT,DRIVER,UNKNOWN,M,28.0,UNABLE TO DETERMINE,UNABLE TO DETERMINE,NONE,IMPROPER PASSING,OTHER,UNABLE TO DETERMINE,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Downtown,10.0,between 19 and 30,5 to 10,UNABLE TO DETERMINE,UNABLE TO DETERMINE,"41.909966376, -87.709857524","3301-3329, West North Avenue, Humboldt Park, Chicago, Jefferson Township, Cook County, Illinois, 60302, United States of America"
2017-10-14 11:30:00,30,SIGN,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,ANGLE,NOT_DIVIDED,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,Y,N,N,UNABLE TO DETERMINE,UNABLE TO DETERMINE,S,N,N,2,3,Morning,41.816778478,-87.601997587,0,IL,NONE,SPORT UTILITY VEHICLE (SUV),UNKNOWN/NA,S,STRAIGHT AHEAD,1,N,FRONT,DRIVER,CHICAGO,F,51.0,USED SAFETY EQUIP,DEPLOYED,NONE,FAILED TO YIELD,NOT OBSCURED,NORMAL,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Not Downtown,9.0,between 51 and 60,5 to 10,UNABLE TO DETERMINE,NORMAL,"41.816778478, -87.601997587","Price Elementary School, East 43rd Street, Oakland, Chicago, Cook County, Illinois, 60653, United States of America"
2019-10-09 22:00:00,30,SIGN,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,N,N,DISREGARDING ROAD MARKINGS,FAILING TO REDUCE SPEED TO AVOID CRASH,W,N,N,3,2,Night,41.852142074,-87.685518262,0,IL,UNABLE TO DETERMINE,OTHER,OTHER,N,OTHER,0,N,OTHER,PEDESTRIAN,CHICAGO,F,57.0,UNABLE TO DETERMINE,UNABLE TO DETERMINE,UNABLE TO DETERMINE,OTHER,OTHER,NORMAL,CROSSING - CONTROLS PRESENT (NOT AT INTERSECTION),NO CONTRASTING CLOTHING,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Downtown,11.0,between 51 and 60,11 to 15,CROSSING,NORMAL,"41.852142074, -87.685518262","Dunkin' Donuts, 2330-2356, West Cermak Road, Lower West Side, Chicago, Cook County, Illinois, 60623, United States of America"
2019-08-05 11:05:00,25,NO_SIGN,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT_DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,N,N,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",NOT APPLICABLE,N,Y,N,2,1,Morning,41.958847827,-87.72921888,0,IL,NONE,PASSENGER,PERSONAL,N,OTHER,1,N,OTHER,DRIVER,CHICAGO,M,26.0,DID NOT USE SAFETY EQUIP,NOT DEPLOYED,NONE,OTHER,NOT OBSCURED,NORMAL,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Not Downtown,15.0,between 19 and 30,11 to 15,UNABLE TO DETERMINE,NORMAL,"41.958847827, -87.72921888","4251-4253, North Keystone Avenue, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States of America"
2017-10-28 12:35:00,30,NO_SIGN,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,NOT_DIVIDED,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,N,N,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,W,N,N,2,1,Afternoon,41.923831671,-87.768478844,0,IL,UNABLE TO DETERMINE,PASSENGER,PERSONAL,N,TURN,1,N,FRONT,DRIVER,CHICAGO,F,43.0,UNABLE TO DETERMINE,NOT DEPLOYED,NONE,FAILED TO YIELD,OTHER,NORMAL,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Not Downtown,6.0,between 41 and 50,5 to 10,UNABLE TO DETERMINE,NORMAL,"41.923831671, -87.768478844","Falcon, North Major Avenue, Beat 2514, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States of America"
2019-10-26 14:50:00,30,SIGN,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,REAR END,NOT_DIVIDED,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,N,N,N,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,S,N,N,3,1,Afternoon,41.743938766,-87.60031469,1,IL,NONE,PASSENGER,PERSONAL,W,OTHER,2,N,REAR,DRIVER,CHICAGO,F,30.0,USED SAFETY EQUIP,NOT DEPLOYED,NONE,NONE,NOT OBSCURED,NORMAL,UNABLE TO DETERMINE,UNABLE TO DETERMINE,0,UNABLE TO DETERMINE,INJURED,NOT FATAL,Not Downtown,0.0,between 19 and 30,Below 5,UNABLE TO DETERMINE,NORMAL,"41.743938766, -87.60031469","958, East 83rd Street, Chatham, Chicago, Cook County, Illinois, 60617, United States of America"
